,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名
0,居酒屋 優 ,050-5493-6339,[],神奈川県,川崎市川崎区東田町,11-8,
1,居酒屋 響 ,050-5484-8090,[],新潟県,魚沼市小出島,125-7,
2,居酒屋 弘 ,050-5488-0249,[],大阪府,大阪市此花区西九条,2-2-18,
3,居酒屋 千 ,050-5493-5501,['izakayasen@jcom.home.ne.jp'],東京都,渋谷区宇田川町,26-5,
4,居酒屋 海 ,050-5484-7266,[],神奈川県,海老名市中央,1-17-22,
5,居酒屋 兜 ,050-5486-4018,[],京都府,長岡京市開田,1-21-21,
6,居酒屋 暁 ,050-5492-6912,[],岐阜県,可児市広見,630-1,
7,居酒屋・竹 ,050-5493-3798,[],東京都,福生市武蔵野台,1-20-25,
8,居酒屋 空 ,050-5486-9408,[],鹿児島県,薩摩川内市向田本町,3-6,
9,居酒屋 万 住吉店,050-5485-9371,['ban_sumiyoshi@bannet.co.jp'],兵庫県,神戸市東灘区住吉宮町,4-3-9,
10,居酒屋 泉 ,050-5484-4023,[],東京都,台東区北上野,1-10-14,
11,居酒屋 雪 ,050-5489-0244,[],長野県,千曲市上山田温泉,2-9-6,
12,居酒屋 栞 ,050-5486-8860,[],栃木県,鹿沼市西茂呂,1-3-16,
13,居酒屋 光 ,050-5493-3938,[],大阪府,大阪市浪速区恵美須東,3-2-9,
14,居酒屋 蔵 富士宮店,050-5485-4014,[],静岡県,富士宮市黒田,1-16,
15,居酒屋 新 ,050-5494-1742,[],大阪府,大阪市中央区島之内,2-12-8,
16,居酒屋 万 ,050-5489-6230,[],福岡県,福岡市博多区元町,1-2-14,
17,居酒屋 信 ,050-5487-0559,[],新潟県,柏崎市関町,2-29,
18,居酒屋 蔵 ,050-5492-2181,[],千葉県,袖ケ浦市蔵波台,7-14-12,
19,居酒屋 暖 ,050-5493-7572,[],滋賀県,大津市真野,2-7-1,
20,居酒屋 蔵 ,050-5486-6180,[],静岡県,静岡市葵区鷹匠,2-4-44,
21,居酒屋 輝 ,050-5488-5289,[],神奈川県,川崎市中原区新丸子町,769-2,
22,居酒屋 感 ,050-5487-1047,[],熊本県,熊本市中央区下通,1-11-20,
23,居酒屋 螢 ,050-5487-0508,[],滋賀県,長浜市高田町,31,
24,居酒屋 のぶ ,0774-20-3960,[],京都府,宇治市小倉町西浦,78-3,
25,居酒屋一 ,077-547-0077,[],滋賀県,大津市大萱,1-8-2,
26,居酒屋 なかい ,050-5489-4681,[],栃木県,宇都宮市池上町,1-1,
27,居酒屋 西濃 ,050-5484-5698,[],茨城県,水戸市末広町,3-2-11,
28,居酒屋 かつき ,050-5488-7133,[],高知県,高知市はりまや町,2-6-2,
29,居酒屋有 ,048-424-8364,[],埼玉県,新座市東北,2-31-1,
30,居酒屋 出世 沼津駅前店,050-5485-5019,[],静岡県,沼津市高島町,21-1,
31,居酒屋 釧路 本館,050-5486-3194,[],東京都,台東区上野,3-27-7,
32,居酒屋 兎馬 ,03-3710-5319,[],東京都,目黒区青葉台,1-28-7,
33,居酒屋 天金 ,050-5486-4361,[],北海道,旭川市,4,条通7右8号
34,居酒屋 いち ,050-5484-9759,[],山口県,下関市武久町,2-81-15,
35,居酒屋 肴や ,050-5493-3705,[],北海道,留萌市開運町,3-6,
36,居酒屋 須佐 ,050-5487-0303,[],大阪府,大阪市中央区瓦屋町,1-1-2,
37,居酒屋 酒仙 ,050-5493-6655,[],北海道,釧路市昭和中央,3-1-10,
38,居酒屋 大関 ,050-5488-7464,[],東京都,町田市能ヶ谷,1-5-8,
39,居酒屋 穂高 ,0955-22-8520,[],佐賀県,伊万里市新天町,497-1,
40,居酒屋 佐藤 恵比寿,050-5492-5448,[],東京都,渋谷区恵比寿西,1-8-2,
41,居酒屋 須佐 ,050-5487-0303,[],大阪府,大阪市中央区瓦屋町,1-1-2,
42,居酒屋 男爵 ,050-5492-4690,[],山梨県,富士吉田市上吉田,5539,
43,居酒屋 大関 ,050-5488-7464,[],東京都,町田市能ヶ谷,1-5-8,
44,居酒屋 鬼平 ,050-5487-1571,[],茨城県,土浦市桜町,1-15-3,
45,居酒屋 大和 ,050-5485-1696,[],千葉県,木更津市大和,2-16-16,
46,居酒屋 いち ,050-5484-1554,[],東京都,千代田区東神田,1-14-14,
47,居酒屋 和吉 ,050-5485-0850,[],大阪府,高槻市寿町,3-33-24,
48,居酒屋 三絃 ,050-5489-4067,[],愛知県,岡崎市明大寺本町,1-8,
49,居酒屋 西濃 ,050-5484-5698,[],茨城県,水戸市末広町,3-2-11,
